ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
10. Series de indices enlazados  de la produccion nominal y real,  ventas nominal y real  y empleo (total y por area funcional),  segun clase industrial;;;;;;;;;;
Enero 2001  - Octubre 2023p;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicacion Diciembre 15 de 2023;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
Dominios;YEAR;MES ;Clases industriales;Produccion nominal;Produccion real;Ventas nominal;Ventas reales;Empleo  Total;Personal de Administracion;Personal de Produccion
1010;2006;5;Procesamiento y conservacion de carne, pescado,y sus productos;42,9;62,2;48,8;70,8;77,2;87,5;74,4
1010;2006;6;Procesamiento y conservacion de carne, pescado,y sus productos;45,8;66,1;47,9;69;79,2;91,9;75,8
1010;2006;7;Procesamiento y conservacion de carne, pescado,y sus productos;41,8;60,4;50,7;73,3;80,1;88,7;77,8
1010;2006;8;Procesamiento y conservacion de carne, pescado,y sus productos;42,9;62,4;50,2;73;81;91;78,2
1010;2006;9;Procesamiento y conservacion de carne, pescado,y sus productos;42,9;63;49,6;72,8;83;87,7;81,6
1010;2006;10;Procesamiento y conservacion de carne, pescado,y sus productos;47,9;70,1;51,8;75,7;86,1;87,4;85,6
1010;2006;11;Procesamiento y conservacion de carne, pescado,y sus productos;49,9;73,2;51,9;76;85,4;92,6;83,5
1010;2006;12;Procesamiento y conservacion de carne, pescado,y sus productos;49,2;71,3;58,3;84,5;82,5;91,9;79,9
1010;2007;1;Procesamiento y conservacion de carne, pescado,y sus productos;41,9;58,1;46,6;64,4;82,5;89,6;80,5
1010;2007;2;Procesamiento y conservacion de carne, pescado,y sus productos;38,9;54,2;44;61,1;83,9;88,2;82,6
1010;2007;3;Procesamiento y conservacion de carne, pescado,y sus productos;42,6;58,9;49,5;68,2;83,2;85,6;82,4
